codigo;departamento;municipio;particulares;lea;total;
20032;Cesar;Astrea;18.434;0;18.434;
20045;Cesar;Becerril;20.474;3;20.477;
20060;Cesar;Bosconia;37.499;32;37.531;
20175;Cesar;Chimichagua;30.272;17;30.289;
20178;Cesar;Chiriguaná;26.976;30;27.006;
20228;Cesar;Curumaní;34.833;5;34.838;
20238;Cesar;El Copey;28.550;0;28.550;
20250;Cesar;El Paso;34.620;0;34.620;
20295;Cesar;Gamarra;12.444;0;12.444;
20310;Cesar;González;4.034;19;4.053;
20383;Cesar;La Gloria;14.779;210;14.989;
20400;Cesar;La Jagua de Ibirico;37.106;250;37.356;
20443;Cesar;Manaure;9.302;11;9.313;
20517;Cesar;Pailitas;16.800;0;16.800;
20550;Cesar;Pelaya;18.487;10;18.497;
20570;Cesar;Pueblo Bello;22.763;166;22.929;
20614;Cesar;Río de Oro;14.408;0;14.408;
20621;Cesar;La Paz;26.105;4;26.109;
20710;Cesar;San Alberto;22.993;47;23.040;
20750;Cesar;San Diego;18.530;1;18.531;
20770;Cesar;San Martín;20.452;0;20.452;
20787;Cesar;Tamalameque;14.063;0;14.063;
23001;Córdoba ;Montería;431.279;2.444;433.723;
23068;Córdoba ;Ayapel;38.816;0;38.816;
23079;Córdoba ;Buenavista;18.344;0;18.344;
23090;Córdoba ;Canalete;14.831;0;14.831;
23162;Córdoba ;Cereté;96.165;87;96.252;
23168;Córdoba ;Chimá;13.492;0;13.492;
23182;Córdoba ;Chinú;42.676;4;42.680;
23189;Córdoba ;Ciénaga de Oro;56.278;0;56.278;
23300;Córdoba ;Cotorra;16.215;0;16.215;
23350;Córdoba ;La Apartada;13.733;9;13.742;
23417;Córdoba ;Lorica;98.436;55;98.491;
23419;Córdoba ;Los Córdobas;15.886;0;15.886;
23464;Córdoba ;Momil;16.264;0;16.264;
23466;Córdoba ;Montelíbano;71.772;52;71.824;
23500;Córdoba ;Moñitos;25.095;0;25.095;
23555;Córdoba ;Planeta Rica;60.245;14;60.259;
23570;Córdoba ;Pueblo Nuevo;26.968;0;26.968;
23574;Córdoba ;Puerto Escondido;19.474;0;19.474;
